,date,current stock of product in factory,produced products in next 24 hours,manufacturing demand,current stock of raw material in factory,new stock of raw material in next day,manufacturing rate per hour,total products delivered to warehouse,total cost,transpotation time,revenue per day,profit per day
0,2024-04-11,0,0,162.0,0,2032,0,0,22970,0,0,-22970
1,2024-04-12,0,677,858.0,2032,410,32,677,19895,3,67700,47805
2,2024-04-13,0,126,821.0,411,820,6,126,18485,3,12600,-5885
3,2024-04-14,0,284,946.0,853,847,13,284,22885,3,28400,5515
4,2024-04-15,0,282,936.0,848,1748,13,282,31875,3,28200,-3675
5,2024-04-16,0,583,183.0,1750,340,27,183,11880,3,18300,6420
6,2024-04-17,400,105,488.0,341,1344,5,488,20965,3,48800,27835
7,2024-04-18,17,456,492.0,1370,398,21,473,15015,3,47300,32285
8,2024-04-19,0,126,925.0,400,2251,6,126,35345,3,12600,-22745
9,2024-04-20,0,757,227.0,2273,2697,36,227,37190,3,22700,-14490
10,2024-04-21,530,470,281.0,2699,1711,22,281,24460,3,28100,3640
11,2024-04-22,719,281,44.0,3000,843,13,44,13890,3,4400,-9490
12,2024-04-23,956,42,31.0,3000,132,2,31,4390,3,3100,-1290
13,2024-04-24,967,21,958.0,3006,93,1,958,12715,3,95800,83085
14,2024-04-25,30,970,289.0,3036,1392,46,289,26270,3,28900,2630
