,date,current_stock,new_stock,demand,production_cost,revenue,profit
0,2024-04-11,0.0,0,462.0,0,0.0,-100.0
1,2024-04-12,0.0,18,480.0,1800,0.0,-1900.0
2,2024-04-13,18.0,468,498.0,46800,2700.0,-44200.0
3,2024-04-14,468.0,768,516.0,76800,70200.0,-6700.0
4,2024-04-15,768.0,183,417.0,18300,62550.0,44150.0
5,2024-04-16,534.0,860,451.0,86000,67650.0,-18450.0
6,2024-04-17,943.0,438,453.0,43800,67950.0,24050.0
7,2024-04-18,928.0,542,470.0,54200,70500.0,16200.0
8,2024-04-19,1000.0,488,488.0,48800,73200.0,24300.0
9,2024-04-20,1000.0,300,505.0,30000,75750.0,45650.0
10,2024-04-21,795.0,380,523.0,38000,78450.0,40350.0
11,2024-04-22,652.0,771,423.0,77100,63450.0,-13750.0
12,2024-04-23,1000.0,457,457.0,45700,68550.0,22750.0
13,2024-04-24,1000.0,458,458.0,45800,68700.0,22800.0
14,2024-04-25,1000.0,386,474.0,38600,71100.0,32400.0
