,current_stock,new_stock,demand,reward,capacity,storage_cost,selling_price,manufacturing_price,t,total_production_cost,total_revenue_generated
0,0.0,0.0,472.67851925036143,0.0,1000.0,1000.0,100.0,70.0,366.0,0.0,0.0
1,100.0,100.0,526.722792729261,-8000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,0.0
2,100.0,100.0,545.6016972409024,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
3,100.0,100.0,446.4759386916726,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
4,100.0,100.0,481.5864671102084,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
5,100.0,100.0,483.60761788746413,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
6,100.0,100.0,501.2607151566635,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
7,100.0,100.0,519.9190885716631,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
8,100.0,100.0,538.0051940145448,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
9,100.0,100.0,556.6957579434716,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
10,100.0,100.0,457.3085292928357,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
11,100.0,100.0,492.0886854140585,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
12,100.0,100.0,493.71637470348304,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
13,100.0,100.0,510.9201510267561,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
14,100.0,100.0,529.0817878180399,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
15,100.0,100.0,546.6331686007396,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
16,100.0,100.0,564.7611804950327,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
17,100.0,100.0,464.7942018744299,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
18,100.0,100.0,498.9882381365409,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
19,100.0,100.0,500.0341956677714,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
20,100.0,100.0,516.6710563249849,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
21,100.0,100.0,534.2904470844792,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
22,100.0,100.0,551.333307761815,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
23,100.0,100.0,568.9945887319416,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
24,100.0,100.0,468.60957427999375,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
25,100.0,100.0,502.4398889734686,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
26,100.0,100.0,503.18067949006877,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
27,100.0,100.0,519.5737354398678,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
28,100.0,100.0,537.0120439292367,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
29,100.0,100.0,553.9364797633016,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
30,100.0,100.0,571.5405611880138,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
31,100.0,100.0,471.15686383170396,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
32,100.0,100.0,505.0431464509654,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
33,100.0,100.0,505.88967645747516,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
34,100.0,100.0,522.4325137847624,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
35,100.0,100.0,540.0582425177387,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
36,100.0,100.0,557.200846678137,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
37,100.0,100.0,575.0466545667572,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
38,100.0,100.0,474.92093898540935,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
39,100.0,100.0,509.07422193394063,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
40,100.0,100.0,510.1897672113245,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
41,100.0,100.0,526.9970155234396,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
42,100.0,100.0,544.8764482447832,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
43,100.0,100.0,562.2565737152541,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
44,100.0,100.0,580.3189587566917,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
45,100.0,100.0,480.3848918431763,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
46,100.0,100.0,514.7017264324556,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
47,100.0,100.0,515.9503885750444,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
48,100.0,100.0,532.8588047970472,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
49,100.0,100.0,550.8067384203194,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
50,100.0,100.0,568.2227307323736,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
51,100.0,100.0,586.2890726376919,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
52,100.0,100.0,486.32839642450347,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
53,100.0,100.0,520.5899395227801,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
54,100.0,100.0,521.7569677219368,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
55,100.0,100.0,538.5601171033755,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
56,100.0,100.0,556.3821458503486,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
57,100.0,100.0,573.6547950256698,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
58,100.0,100.0,591.5636861767903,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
59,100.0,100.0,491.4348471477087,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
60,100.0,100.0,525.5209191554197,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
61,100.0,100.0,526.5085332307827,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
62,100.0,100.0,543.1316153198812,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
63,100.0,100.0,560.7761107288211,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
64,100.0,100.0,577.8768260036223,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
65,100.0,100.0,595.6223146911508,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
66,100.0,100.0,495.34139659720387,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
67,100.0,100.0,529.2893615862865,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
68,100.0,100.0,530.1553438818892,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
69,100.0,100.0,546.6756239956447,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
70,100.0,100.0,564.2383468944314,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
71,100.0,100.0,581.2803526410019,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
72,100.0,100.0,598.9920444024468,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
73,100.0,100.0,498.70388230445025,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
74,100.0,100.0,532.6725535234165,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
